SYSTEM/0112.wav,point,Alex
SYSTEM/0115.wav,volt,Alex
SYSTEM/0116.wav,volts,Alex
SYSTEM/0117.wav,amp,Alex
SYSTEM/0118.wav,amps,Alex
SYSTEM/0119.wav,meter per second,Alex
SYSTEM/0120.wav,meters per second,Alex
SYSTEM/0123.wav,KMH,Alex
SYSTEM/0124.wav,KMH,Alex
SYSTEM/0125.wav,meter,Alex
SYSTEM/0126.wav,meters,Alex
SYSTEM/0127.wav,degree,Alex
SYSTEM/0128.wav,degrees,Alex
SYSTEM/0129.wav,percent,Alex
SYSTEM/0130.wav,percent,Alex
SYSTEM/0131.wav,milliamp,Alex
SYSTEM/0132.wav,milliamps,Alex
SYSTEM/0133.wav,M A H,Alex
SYSTEM/0134.wav,M A H,Alex
SYSTEM/0135.wav,watt,Alex
SYSTEM/0136.wav,watts,Alex
SYSTEM/0137.wav,db,Alex
SYSTEM/0138.wav,db,Alex
SYSTEM/0140.wav,feet,Alex
SYSTEM/0141.wav,knot,Alex
SYSTEM/0142.wav,knots,Alex
SYSTEM/0143.wav,hour,Alex
SYSTEM/0144.wav,hours,Alex
SYSTEM/0145.wav,minute,Alex
SYSTEM/0146.wav,minutes,Alex
SYSTEM/0147.wav,second,Alex
SYSTEM/0148.wav,seconds,Alex
SYSTEM/0149.wav,rpm,Alex
SYSTEM/0150.wav,rpm,Alex
SYSTEM/0151.wav,g,Alex
SYSTEM/0152.wav,g,Alex
SYSTEM/0160.wav,point 0,Alex
SYSTEM/0161.wav,point 1,Alex
SYSTEM/0162.wav,point 2,Alex
SYSTEM/0163.wav,point 3,Alex
SYSTEM/0164.wav,point 4,Alex
SYSTEM/0165.wav,point 5,Alex
SYSTEM/0166.wav,point 6,Alex
SYSTEM/0167.wav,point 7,Alex
SYSTEM/0168.wav,point 8,Alex
SYSTEM/0169.wav,point 9,Alex
SYSTEM/a1_org.wav,A1 low,Alex
SYSTEM/a1_red.wav,A1 critical,Alex
SYSTEM/a2_org.wav,A2 low,Alex
SYSTEM/a2_red.wav,A2 critical,Alex
SYSTEM/endtrim.wav,Maximum trim reached,Alex
SYSTEM/inactiv.wav,Inactivity alarm,Alex
SYSTEM/lowbatt.wav,Low battery,Alex
SYSTEM/midtrim.wav,Trim center,Alex
SYSTEM/rssi_org.wav,RF signal low,Alex
SYSTEM/rssi_red.wav,RF signal critical,Alex
SYSTEM/swalert.wav,Switch warning,Alex
SYSTEM/swr_red.wav,Radio antenna defective,Alex
SYSTEM/tada.wav,Welcome to Taranis,Alex
SYSTEM/telemko.wav,Telemetry lost,Alex
SYSTEM/telemok.wav,Telemetry recovered,Alex
SYSTEM/thralert.wav,Throttle warning,Alex
SYSTEM/timer10.wav,10 seconds,Alex
SYSTEM/timer20.wav,20 seconds,Alex
SYSTEM/timer30.wav,30 seconds,Alex
horn.wav,,Alex
pouet.wav,,Alex
shutter.wav,,Alex
wizz.wav,,Alex
SYSTEM/timerlt3.wav,,Alex
airmode.wav,air mode,Alex
anglemod.wav,angle mode,Alex
armed.wav,armed,Alex
disarmed.wav,disarmed,Alex
